name,current_club_name,country_of_citizenship,country_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,current_club_domestic_competition_id,age
Álex Baena,Fc Villarreal,Spain,Spain,Attack,Left Winger,Right,174,15000000.0,ES1,22.0
Gianluigi Donnarumma,Fc Paris Saint Germain,Italy,Italy,Goalkeeper,,Right,196,50000000.0,FR1,24.0
Terem Moffi,Fc Lorient,Nigeria,Nigeria,Attack,Centre-Forward,Left,188,15000000.0,FR1,24.0
Enzo Le Fée,Fc Lorient,France,France,Attack,Attacking Midfield,Right,170,12000000.0,FR1,23.0
Armand Laurienté,Fc Lorient,France,France,Attack,Left Winger,Right,177,14000000.0,FR1,25.0
Wout Weghorst,Fc Burnley,Netherlands,Netherlands,Attack,Centre-Forward,Right,197,14000000.0,GB1,31.0
Dwight McNeil,Fc Burnley,England,England,Attack,Left Winger,Left,183,18000000.0,GB1,24.0
Maxwel Cornet,Fc Burnley,Cote d'Ivoire,Cote d'Ivoire,Attack,Left Winger,Left,179,15000000.0,GB1,27.0
Nathan Collins,Fc Burnley,Ireland,Ireland,Defender,Centre-Back,Right,193,22000000.0,GB1,22.0
Nick Pope,Fc Burnley,England,England,Goalkeeper,,Right,198,18000000.0,GB1,31.0
James Tarkowski,Fc Burnley,England,England,Defender,Centre-Back,Right,185,22000000.0,GB1,31.0
Armel Bella-Kotchap,Vfl Bochum,Germany,France,Defender,Centre-Back,Right,190,18000000.0,L1,22.0
Mauro Icardi,Fc Paris Saint Germain,Argentina,Argentina,Attack,Centre-Forward,Right,181,17500000.0,FR1,30.0
Arnaud Kalimuendo,Fc Paris Saint Germain,France,France,Attack,Centre-Forward,Right,175,25000000.0,FR1,21.0
Neymar,Fc Paris Saint Germain,Brazil,Brazil,Attack,Left Winger,Right,175,75000000.0,FR1,31.0
Lionel Messi,Fc Paris Saint Germain,Argentina,Argentina,Attack,Right Winger,Left,170,50000000.0,FR1,36.0
Kylian Mbappé,Fc Paris Saint Germain,France,France,Attack,Centre-Forward,Right,178,180000000.0,FR1,25.0
Marco Verratti,Fc Paris Saint Germain,Italy,Italy,Midfield,Central Midfield,Right,165,50000000.0,FR1,31.0
Georginio Wijnaldum,Fc Paris Saint Germain,Netherlands,Netherlands,Midfield,Central Midfield,Right,175,12000000.0,FR1,33.0
Danilo Pereira,Fc Paris Saint Germain,Portugal,Guinea-Bissau,Midfield,Defensive Midfield,Right,188,12000000.0,FR1,32.0
Leandro Paredes,Fc Paris Saint Germain,Argentina,Argentina,Midfield,Defensive Midfield,Right,180,15000000.0,FR1,29.0
Achraf Hakimi,Fc Paris Saint Germain,Morocco,Spain,Defender,Right-Back,Right,181,70000000.0,FR1,25.0
Xavi Simons,Fc Paris Saint Germain,Netherlands,Netherlands,Attack,Attacking Midfield,Right,179,18000000.0,FR1,20.0
Nuno Mendes,Fc Paris Saint Germain,Portugal,Portugal,Defender,Left-Back,Left,176,60000000.0,FR1,21.0
Juan Bernat,Fc Paris Saint Germain,Spain,Spain,Defender,Left-Back,Left,177,12000000.0,FR1,30.0
Abdou Diallo,Fc Paris Saint Germain,Senegal,France,Defender,Centre-Back,Left,187,15000000.0,FR1,27.0
Thilo Kehrer,Fc Paris Saint Germain,Germany,Germany,Defender,Centre-Back,Right,186,22000000.0,FR1,27.0
Presnel Kimpembe,Fc Paris Saint Germain,France,France,Defender,Centre-Back,Left,183,40000000.0,FR1,28.0
Marquinhos,Fc Paris Saint Germain,Brazil,Brazil,Defender,Centre-Back,Right,183,70000000.0,FR1,29.0
Julian Draxler,Fc Paris Saint Germain,Germany,Germany,Attack,Left Winger,Right,185,12000000.0,FR1,30.0
Pablo Sarabia,Fc Paris Saint Germain,Spain,Spain,Attack,Right Winger,Left,174,20000000.0,FR1,31.0
Pape Matar Sarr,Fc Metz,Senegal,Senegal,Midfield,Central Midfield,Right,184,15000000.0,FR1,21.0
Lorenzo Pellegrini,As Rom,Italy,Italy,Attack,Attacking Midfield,Both,186,45000000.0,IT1,27.0
Nicola Zalewski,As Rom,Poland,Italy,Midfield,Left Midfield,Both,175,15000000.0,IT1,21.0
Bryan Cristante,As Rom,Italy,Italy,Midfield,Defensive Midfield,Right,186,20000000.0,IT1,28.0
Tammy Abraham,As Rom,England,England,Attack,Centre-Forward,Right,194,45000000.0,IT1,26.0
